"Distancia (millas)","Bogotá","Cali","Medellín","Barranquilla","Cartagena","Cúcuta","Bucaramanga","Pereira","Santa Marta","Ibagué","Pasto","Manizales","Neiva","Villavicencio","Armenia"
"Bogotá","","288","261","627","654","372","254","200","602","120","475","197","187","69","171"
"Cali","287","","274","711","682","612","487","134","765","170","244","167","237","347","116"
"Medellín","260","273","","438","409","368","244","139","494","224","507","130","367","329","174"
"Barranquilla","625","708","436","","76","416","399","574","63","616","943","565","732","694","609"
"Cartagena","670","679","408","77","","460","443","546","140","631","914","537","776","738","581"
"Cúcuta","370","610","367","416","460","","124","477","390","438","841","446","554","439","490"
"Bucaramanga","253","487","243","399","444","125","","353","374","314","718","322","430","321","367"
"Pereira","200","134","141","578","549","479","354","","632","83","369","33","209","260","33"
"Santa Marta","600","764","493","63","139","391","374","630","","591","994","599","707","669","643"
"Ibagué","119","171","225","617","643","438","314","83","591","","416","118","128","179","53"
"Pasto","474","243","508","945","916","841","717","368","994","416","","400","288","534","350"
"Manizales","195","166","130","567","539","446","322","32","599","117","400","","243","264","67"
"Neiva","186","237","351","732","759","554","430","209","707","129","289","244","","247","179"
"Villavicencio","67","347","328","694","721","439","321","260","669","179","534","264","247","","230"
"Armenia","170","117","175","612","584","490","366","33","644","54","351","68","180","231",""
"","","","","","","","","","","","","","","",""
"Cuadro de kilometraje entre Colombia ciudades: ","","","","","","","","","","","","","","",""
"https://colombia.mejoresrutas.com/tabla-de-distancias/co/","","","","","","","","","","","","","","",""
